danmaku_id,content,progress,ctime,user_hash
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
1915857326712524288,14岁我还在上初2,4.565,1755479190,e0abc588
1916064569353789952,牛逼,42.459,1755503896,8b0de93b
1916105318854307072,帅,0.058,1755508753,7fb5f0e8
1916114213463050240,牛逼兄弟,21.363,1755509814,9f522104
1916116978046194176,NB,51.095,1755510143,b13daaa0
1916119569463112704,真男人,17.187,1755510452,98e6571d
1916127074968474624,我也敬自己一杯，没能考上重高,1.117,1755511347,fa1475ad
1916138212129171712,性情！,51.069,1755512674,78859541
1916184370067713024,牛,29.489,1755518177,5370ef72
1916184994683465984,加油,82.753,1755518251,126c93e
1916190210132241408,？,28.762,1755518873,304f2442
1916198668357883904,一个视频的账号吗？,73.524,1755519881,32eaf1f3
1916203003716320000,厉害,44.912,1755520398,54745610
1916227162344625664,江南吗？,0.373,1755523278,5fa86354
1916246650641283584,nb,15.457,1755525601,3c224aca
1916258327164326400,加油,74.745,1755526993,8659f849
1916317723433429760,你这属于是艺术类的专业播音主持类的话。这个专业是要参加艺考的，要参加艺考和高考两个考试的,38.211,1755534074,a994a2dc
1916325671245275904,兄弟长得好像江南,5.921,1755535021,e6c4417f
1916790652247539968,有这个毅力干什么都能成的,46.511,1755590451,f692bd91
1916799296498344448,厉害，佩服了,49.488,1755591482,672a506
1916876907816277504,14岁进厂，那得多苦啊,9.327,1755600734,d2e4c9ff
1918334947232457728,加油,8.331,1755774546,b4012e8
1918376600118900480,加油,29.493,1755779511,5863dc45
1918455099253352704,支持每一个梦想,74.91,1755788869,92ebfc13
1918712344985347072,长难句这一块,11.979,1755819535,1a4c17cf
1918946846190315008,啊,28.491,1755847490,b42e99b8
1919127322863864320,我也是，没考上普高，上综合了,9.018,1755869004,6f7d8505
1919201396142795264,好棒,88.856,1755877834,18aabc74
1919898308366129920,不是哥们你江南啊,2.228,1755960913,57154e3f
1921433122637931008,加油加油,72.639,1756143877,59dd51f7
1922160525765026304,太帅了，兄弟,67.094,1756230590,a07b32e6
1924300049555569152,？,28.891,1756485641,ce7519b7
1924615782550649344,加油哥,90.0,1756523280,43c0eaef
1925706836926307328,很不错兄弟，支持你,82.7,1756653343,117a9eaf
1929341456355869952,666,51.387,1757086624,9151be1
1930775125641648384,1万不少了,17.666,1757257531,453e979
1930775987755942912,牛逼哥们，算你厉害,22.071,1757257633,95ecccd6
1931162481628476928,我也跟兄弟一样遭遇,8.427,1757303707,a275594d
1944557054073511168,牛,37.814,1758900464,d0336cd0
1981913274488982272,这个up主才诠释了努力，成功都是自己应得的,59.63,1763353673,637f17e7
2012947385437341184,卧槽带我一起做,67.036,1767053227,8d996c2c
2014621722451828736,厉害,19.558,1767252824,1cdfce5
2021259259719216640,牛逼！,56.16,1768044080,4fc59ece
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1915487716247039488,很厉害了,45.875,1755435129,245afa4a
1915766833773063680,牛逼,38.251,1755468403,af7c84be
1915782453713634304,bro可以的，但是拍视频干一瓶伤身体不值得,21.124,1755470265,1c4874e3
1915799415982454272,超人,37.744,1755472287,83964597
