danmaku_id,content,progress,ctime,user_hash
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1933520989619654656,在现场,7.515,1757584863,4e23125d
1933546449774674688,大家都好帅,48.7,1757587898,c21087d2
1933638181669063936,终于到我在现场了！,30.438,1757598833,b1964e5e
1933645056234414080,在现场,17.965,1757599653,8f412067
1933680594882697984,一片红，看着就喜庆啊,36.256,1757603889,ac6af558
1933924432196174848,南京某高校发来贺电,1.087,1757632957,52222cd0
1933937135351180544,武汉最好的学校,57.292,1757634471,ecf766bf
1933937763339238144,我高中同桌就读的华中科技的研究生,0.517,1757634546,8b5921fc
1933938865124004864,在现场，表白表演的学长学姐,26.113,1757634678,9d59708c
1933961438742477056,点进来就想看看椅子背上是啥,13.898,1757637369,b5e63da7
1933985350058423296,湖北第一高校！,29.3,1757640219,2299465c
1934005229859880448,一看就是正经高校,53.1,1757642589,33f46db8
1934005526254504448,红绿很好看,22.463,1757642624,d00ffdf8
1934011153517122304,爱我中华,45.06,1757643295,539d0ceb
1934026082865478400,羡慕,40.942,1757645075,bf953478
1934053483229789184,湖北第一高校,7.669,1757648341,c9d3a23
1934065532634635520,好！！！！,3.192,1757649778,a5a1ae7e
1934067361712365312,看看板凳,14.92,1757649996,278f6cd1
1934069824540085504,武汉最强大学,21.676,1757650289,b39fe2d
1934075736898702336,孩子们好好努力，武汉的未来要靠你们的,42.631,1757650994,d5e8f99e
1934084157097747712,@武汉大学,37.151,1757651998,92ad4f0e
1934087009719186688,不愧为武汉第一高校,14.709,1757652338,bda859c4
1934087712407767040,令人安心的男女比例,30.708,1757652422,fdf2555b
1934094852011362816,还好没有膏药椅子,22.36,1757653273,dcdcf58e
1934099292738839296,王腾大帝的母校,0.825,1757653802,740377bc
1934123672977796608,这才是好大学该有的样子,43.993,1757656708,d8e1e707
1934137234001857536,湖北最好的大学,25.236,1757658325,525c3f28
1934137364453128960,真985,35.647,1757658341,525c3f28
1934260854401111552,专门进来看板凳的,0.806,1757673062,42c5a3a3
1934278015069108736,母校，一切安好,43.949,1757675107,4c3a03db
1934755431109269504,@武汉大学,14.176,1757732020,d1380995
1934816716735572480,湖北第一高校,10.097,1757739326,417aad10
1934832118396021248,Bgm ：because of you,0.338,1757741162,5f1e158e
1934898001290262784,看看板凳,20.179,1757749016,46aa10e
1935179557821439488,好的大学从不需要过多的宣传,11.151,1757782580,67749907
1935444860962297088,看看人家,31.16,1757814206,5ec76d78
1935445079787477760,这才是正规大学,50.5,1757814232,5ec76d78
1936860923961192704,华科万要顶住啊，,7.787,1757983014,b997c667
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
