danmaku_id,content,progress,ctime,user_hash
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
1694793298621267968,2020年GDP是101万亿…,4.481,1729126305,c98adace
1694798715413450496,还是保守了哈哈哈哈哈哈哈,4.233,1729126950,77136cc3
1694800702725472256,看的好感慨,23.468,1729127187,b2eb458c
1694818685241524992,提前30年完成既定目标,12.335,1729129331,60f09dbf
1696726684600455424,轻舟已过万重山,22.28,1729356782,7afdaad6
1696741077270792192,你们回来看看呀,2.469,1729358498,ecf3a5d5
1696790342810638848,这一路走来，不容易啊！太不容易了！,6.143,1729364371,4da5a390
1697090596038270720,我们的习惯就是超前超额完成任务,0.392,1729400164,e59c4d65
1697099656842170624,当年的齐鲁晚报还不错，中超比赛有加版doge,16.363,1729401244,c5718969
1697108184558400000,都是人民群众的力量啊,7.018,1729402260,a3417b44
1697111410665862400,2002年11月14日,0.0,1729402645,6cef88d2
1697256029026807296,应该说中国人民，中华民族是最努力的，最厉害的！！,21.186,1729419885,13ec25f
1697292884283495424,2023国内生产总值126万亿，已经快要到预期的4倍啦,17.073,1729424278,80be23a3
1700322194997840640,希望国家越来越强大,11.823,1729785400,31a8b80b
1700385933293051904,当时中国GDP排名第七,4.69,1729792999,d9a8fc38
1702063360109868800,我们提前40年完成了目标,17.939,1729992963,e8e15f11
1702140234655784192,一路走来不容易啊,16.739,1730002128,8b88d2fa
1702434964237115904,坚定不移走自己的道路,22.939,1730037262,cfbca238
1703097603409501184,BGM—《吹灭小山河》,0.428,1730116255,b2ca219b
1708151907207367680,真实的 2020 年国内生产总值：1015986亿元,9.348,1730718775,f0b25f9a
1776230398972548608,石广生，当时的贸易部长,21.933,1738834363,83178cc4
1824635359851006720,bgm：吹灭小河山-银临,10.525,1744604684,1751038
1831868128683051776,中国人民真的很伟大，是这个世界上最伟大没有之一,25.123,1745466898,3ed7c347
1854242321332652800,2020年GDP为103.49万亿,1.601,1748134109,d472f85f
1875474705968817664,人均GDP吧,15.956,1750665207,c502f5bd
1907327114051914240,吹灭小山河,26.88,1754462310,99ae5fb5
1921125849914978816,好感慨。谁都不看好你，偏偏你最争气。（指外部环境）,1.37,1756107247,ecf2321a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1693432055092299008,2020好像都100万亿元了,2.829,1728964032,50f8f311
1693553133407660032,早就第二了,2.956,1728978465,b0a0c71
1693801024869374976,应该是成为软硬科技双料强国,14.963,1729008016,7c395805
1693801700496306176,2020都干到100万亿了,7.499,1729008097,8a683f9
1693808680807982848,当时一定被喷惨了,7.294,1729008929,de24a61b
1693828379314803456,工业总值早就世界第一了,9.439,1729011277,2b73efca
1693843165024381696,无论第几，我们必须永远是发展中国家,19.779,1729013040,fca8db80
1694017978338717696,都没想到我们早早的实现了世界第二，甚至直逼第一,6.859,1729033879,54a67cc1
1694047214264914944,保守太保守了，中国人就是这么谦逊低调,4.805,1729037364,490ff588
1694067432085805312,人民万岁,8.664,1729039775,4ed215e
1694081245061504512,也许会是人均第二,9.936,1729041421,2122fbe8
1694239039651581440,好感动啊，我哭了,22.536,1729060232,77ac5c38
1694360970358529792,2020国内gdp是101.59万亿。,8.799,1729074767,2ae05f1c
1694366645671289600,2010就第二了,3.205,1729075444,ca477dc7
1694431471508999680,2050 有望人均世界第二,16.264,1729083171,3b316e27
1694435153679759872,人民万岁！,21.331,1729083610,8e781800
1694453641081591808,2002年的报纸,8.776,1729085814,b84b446d
