danmaku_id,content,progress,ctime,user_hash
1905916737430594048,挺好的，至少挺实诚的,335.291,1754294180,8eef62f
1905927040378037504,仓库+行政+文员还能干干，生产线干不了,286.577,1754295408,e12062c7
1905931041231633152,说白天到底什么岗位，,228.479,1754295885,77e88cd6
1905937499000512512,毕业季,134.562,1754296655,be93f2fb
1905939654939965952,大胃袋,35.413,1754296912,28657007
1905939955101103104,这大胃袋肯定难找啦,71.197,1754296947,28657007
1905939996700094720,先说清楚挺好的,336.199,1754296952,e209faa7
1905947102606484224,仓库管理类,236.227,1754297800,f6af5140
1905949829407277568,外企大于国企大于私企,301.176,1754298125,ed25cc4f
1905952975521291520,主要老板怕他上班猝死,74.498,1754298500,7d31b5eb
1905961780706884864,一专多能,261.871,1754299549,6f120512
1906007260274983936,哪里都有低工资,187.394,1754304971,a8677c77
1906017450311673088,大卫戴,68.99,1754306186,a0d7c2aa
1906041570898744832,我也是仓库管理员，没前途的，呜呜呜,249.868,1754309061,45299d1a
1906095240365048576,无人问津什么情况,67.832,1754315459,d1b1b1bc
1906098787085414400,我的工作在上海之前都有1万5以上,248.881,1754315882,eec395c5
1906104893748871168,国企还能被裁,1.667,1754316610,c8dc9520
1906106131244238080,哥们，你这样就不像个勤快人啊！,1.652,1754316757,c2ba65b0
1906106960718764288,完了，一下生产线，就回不去了,278.038,1754316856,c8dc9520
1906106965642638848,7777,87.037,1754316857,78989d0a
1906116597190825216,先减肥控制体重,144.125,1754318005,c065d7b5
1906119262587322880,这个金额才是面试最多的，属于中位线的工资标准,177.741,1754318323,e9fd1676
1906119564769682688,心态不错，加油。,44.493,1754318359,7e669f4d
1906129631594189056,硬！,81.355,1754319559,7c00c6e0
1906130659031256320,2025年上海的5500/月。。,188.206,1754319681,dd7cb9ed
1906134566511929088,自带小桌子,35.304,1754320147,ae420623
1906137176417036800,库管是没有专业壁垒的,270.075,1754320458,e038cc1f
1906180680468606208,？？？/？？上海？？？？,159.737,1754325644,98a4dd72
1906180818486374912,先减肥。。。,170.574,1754325661,98a4dd72
1906181610739538432,这一块,24.79,1754325755,362fdf2d
1906205747558549504,经济形势太差了,17.851,1754328632,7d3dbb2f
1906222371187268096,味真足吗,44.7,1754330614,802e7d1b
1906225534624038656,"国企这些年,没学到东西, 真有干货的, 不会没人要",63.037,1754330991,d2d33de8
1906341259783005184,你确定是因为人多吗？？？？？？,68.519,1754344787,b26e96de
1906357978589249536,这不买了放到转转上？发大财！！,86.016,1754346780,18efc53b
1906377377547104000,大卫戴,32.93,1754349092,1213a848
1906389179899221504,除非特别有能力，不然先减体重吧,7.839,1754350499,7dbbe521
1906418982425519104,8小时，双休，顶格缴纳的七险二金，税后5500，什么含金量，比大多数民企好了。而且还是这么大胃袋的人都能干的活。,164.877,1754354052,48ae236a
1906436438808521728,。。。,160.227,1754356133,bee9602e
1906442452760612352,哪里精彩？,78.883,1754356850,cec1ed84
1906450387989395968,临时工吧,6.514,1754357796,354db40b
1906457982590813440,怎么能到手5500呢,180.81,1754358701,5e57a7c7
1906462159782271232,库管吗,241.146,1754359199,43c2d86d
1906466099591913728,这37！？,49.661,1754359669,327b7510
1906496014106443008,很正常,272.51,1754363235,746975a6
1906501911247445504,？？？？,160.269,1754363938,5ef2d5ab
1906565734872949248,内检太厉害了，不需要那么多人了。,17.114,1754371546,2dd7e899
1906566027115142656,椅子链接发一下,50.579,1754371581,970ecc16
1906573546520589568,我们也是国企，也降工资了,216.997,1754372477,ed033a62
1906592835285972480,10项全能,269.622,1754374777,6482dd7d
1906595600749806848,别也为上海就是发财的地方，看行业岗位的，平均算这工资可能是大部分人的水平了,187.067,1754375107,fb75cd47
1906659627824001792,讲真30个真不算多……,66.581,1754382739,7d4c413f
1906686497047454208,肯定合同工,10.154,1754385942,a4a0ecec
1906687710559892480,土木老哥?,1.585,1754386087,a183f6fe
1906697893532684800,我6年没上班了，还不知道咋搞呢，你才哪到哪,180.642,1754387301,d9b61cd6
1906699280354671360,一年多两年了，哈哈哈不过还好我是会阶段性泡健身房的,44.681,1754387466,91cdb97e
1906702739959373312,魔幻,164.694,1754387879,78de4513
1906705789923018496,嗯，程序员？,165.048,1754388242,bc329543
1906711066164294656,讲实话就行，挺好的,349.581,1754388871,9af2142c
1906716164550496768,失业一年的路过,30.882,1754389479,c75833f4
1906742135177456640,双休就很吸引人,180.473,1754392575,c9d50475
1906744766675734528,.,67.39,1754392888,9b357628
1906761284054590720,黄杨：我妈愿意亮出一个玻璃耳环，也要让我做大明星工作,54.231,1754394858,f5731f3c
1906763435648512000,天啊，真心建议自律减肥啊……工作的事情先放一下,49.058,1754395114,f951797c
1906764739624285952,爱说实话是个好公司,349.073,1754395269,f5731f3c
1906770165643979264,上海一顿饭都不止5500,187.759,1754395916,9f11b7ca
1906819940959823104,拜良子为师开直播吧,42.614,1754401850,b0fbeeb2
1907243490258321664,很真实了,237.858,1754452341,bbf17a0f
1907273292558480384,还可以啦,169.044,1754455894,bcf3ec91
1907288495190206976,大卫戴,35.113,1754457706,584fab30
1907289918594437120,提前说蛮好的,346.114,1754457876,dfde56fe
1907307449694800128,保安？,197.355,1754459966,84180b6a
1907421928944161024,那就是最低社保,171.559,1754473613,dd454768
1908116779667542272,居然不是转转,88.712,1754556445,f5653e8b
1908422663127635712,现在国企被裁的多了去了，有指标的，裁百分之多少这样,8.483,1754592909,10f70f79
1908618093735853568,37岁？,22.088,1754616206,b03f8887
1908768929607210752,最好是万能侠,261.315,1754634188,5f54c30b
1908987662124405248,阿弥陀佛。南无离怖畏如来,1.834,1754660262,4e041c11
1909660563115022592,弹幕以为上海行行都是互联网这种薪资啊。,170.655,1754740479,a8173df2
1910216127494038784,外资大撤退,356.642,1754806707,8c26323
1912029143566923776,怎么称大胃袋了,50.078,1755022835,b700847a
1912476791491721472,体重也是自我管理的一环,16.169,1755076199,894e61bc
1912477228294994432,先瘦下来吧，这不健康了,46.728,1755076251,894e61bc
1912479947848188672,大哥，你走个楼梯可能都喘了，先瘦下来,130.711,1755076575,894e61bc
1913748192399415808,少太多了 ,213.069,1755227762,7822f775
1915470430480395776,恩师：良子,50.658,1755433069,564b9c52
1917584876291906816,真实,122.866,1755685130,578f4c4a
1925604519958738176,大胃袋,35.434,1756641146,dd029a31
1925991294422125056,有没可能，没有机会,78.631,1756687253,ba79a834
2021891584903907072,仓库管理,234.748,1768119459,1484191
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1905948185667565056,美资企业要撤离？,364.613,1754297929,80e49225
1905948488815261696,暑期,412.734,1754297965,80e49225
1905954670799707392,我很幸运，又找到工作了,512.551,1754298702,e693939b
1905959920969660160,笑起来肚子一直在抽动   好可爱,455.994,1754299328,f126ad66
1905970739765786624,心态不错,568.289,1754300617,9df8fade
1906002795640283136,天都聊黑了,515.52,1754304439,1b5f6e45
1906027691258800384,别往窗户那边靠不安全,554.524,1754307406,81699c47
1906032939541158656,考虑出去骑行吗？川藏线滇藏线青藏线,547.451,1754308032,9db85c1c
1906075497810050304,该减肥了,589.282,1754313105,605fc1f2
1906128493117668352,很赞,575.102,1754319423,7a04bc76
1906183782139725568,没有外企，岂不就要坐吃空响了。。,408.227,1754326014,98a4dd72
1906263871401007104,哎，经济太差了,447.294,1754335561,1932426a
1906397511976456704,就是这个说法！赞！！,575.05,1754351492,d8a1051a
1906404697280603136,很棒耶，这个想法。,582.235,1754352349,ca399b7c
1906513505906607104,泪目了,378.998,1754365320,d5c82f1
1906624427077597952,兄弟是实在人,529.152,1754378543,1d7a170
1906627749125176832,挺乐观的,472.19,1754378939,f5197f81
1906642019430881792,中年人的心酸谁懂,384.218,1754380640,f45f075
1906642446042010112,人心中的山不止一座，唉…,388.363,1754380691,f45f075
1906643291907182336,恋爱也好，结婚也罢，工作饭碗都保不住，怎么进行下一步…,397.199,1754380792,f45f075
1906644338771858944,心态一定要好，乐观,502.493,1754380917,f45f075
1906719540805965568,谈吐挺好的,480.111,1754389881,7c9e742
1906720421072983808,谢谢了,574.293,1754389986,7c9e742
1906744321307529728,如果是上海户口的话，开滴滴还赚钱点,428.518,1754392835,c9d50475
1906765123092633088,这么好,378.896,1754395315,f5731f3c
1907291112687571712,就是要心态好,555.351,1754458018,dfde56fe
1907885237284352256,Rakuten小区是吧,476.684,1754528843,2718af57
1908135319229214720,外资的赔偿差不多还正规点,381.495,1754558655,eb71623f
1908137585898239232,是的光在那唉声叹气怨天尤人，解决不了实际问题，是实话，还是得找点事情做,540.146,1754558925,eb71623f
1908428510549214720,现在失业的以后可能再也找不到办公室工作了，只能做做服务行业,524.579,1754593606,10f70f79
1909080582735204608,被老哥这句话感动到了,564.68,1754671339,1fec569e
1917505027657403648,这是上海土著有房的,562.847,1755675612,268581ab
1925061469998218240,为什么套个救生圈,501.312,1756576410,f8616d23
2051343449236105728,你是有房，没房租房就是另一种人生了,512.815,1771630395,95c2b0e8
2059193422098637312,心态还是很好，打击是肯定的，我都抑郁了,547.288,1772566184,4b7a883
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1905915883185266688,劳务派遣也算国企的？国企没看见有被裁的,33.529,1754294078,2461f77e
1905916737430594048,挺好的，至少挺实诚的,335.291,1754294180,8eef62f
1905927040378037504,仓库+行政+文员还能干干，生产线干不了,286.577,1754295408,e12062c7
1905931041231633152,说白天到底什么岗位，,228.479,1754295885,77e88cd6
1905937499000512512,毕业季,134.562,1754296655,be93f2fb
1905939654939965952,大胃袋,35.413,1754296912,28657007
1905939955101103104,这大胃袋肯定难找啦,71.197,1754296947,28657007
1905939996700094720,先说清楚挺好的,336.199,1754296952,e209faa7
1905947102606484224,仓库管理类,236.227,1754297800,f6af5140
1905949829407277568,外企大于国企大于私企,301.176,1754298125,ed25cc4f
1905952975521291520,主要老板怕他上班猝死,74.498,1754298500,7d31b5eb
1905961780706884864,一专多能,261.871,1754299549,6f120512
1906007260274983936,哪里都有低工资,187.394,1754304971,a8677c77
1906017450311673088,大卫戴,68.99,1754306186,a0d7c2aa
1906041570898744832,我也是仓库管理员，没前途的，呜呜呜,249.868,1754309061,45299d1a
1906095240365048576,无人问津什么情况,67.832,1754315459,d1b1b1bc
1906098787085414400,我的工作在上海之前都有1万5以上,248.881,1754315882,eec395c5
1906104893748871168,国企还能被裁,1.667,1754316610,c8dc9520
1906106131244238080,哥们，你这样就不像个勤快人啊！,1.652,1754316757,c2ba65b0
1906106960718764288,完了，一下生产线，就回不去了,278.038,1754316856,c8dc9520
1906106965642638848,7777,87.037,1754316857,78989d0a
1906116597190825216,先减肥控制体重,144.125,1754318005,c065d7b5
1906119262587322880,这个金额才是面试最多的，属于中位线的工资标准,177.741,1754318323,e9fd1676
1906119564769682688,心态不错，加油。,44.493,1754318359,7e669f4d
1906129631594189056,硬！,81.355,1754319559,7c00c6e0
1906130659031256320,2025年上海的5500/月。。,188.206,1754319681,dd7cb9ed
1906134566511929088,自带小桌子,35.304,1754320147,ae420623
1906137176417036800,库管是没有专业壁垒的,270.075,1754320458,e038cc1f
1906180680468606208,？？？/？？上海？？？？,159.737,1754325644,98a4dd72
1906180818486374912,先减肥。。。,170.574,1754325661,98a4dd72
1906181610739538432,这一块,24.79,1754325755,362fdf2d
1906205747558549504,经济形势太差了,17.851,1754328632,7d3dbb2f
1906222371187268096,味真足吗,44.7,1754330614,802e7d1b
1906225534624038656,"国企这些年,没学到东西, 真有干货的, 不会没人要",63.037,1754330991,d2d33de8
1906341259783005184,你确定是因为人多吗？？？？？？,68.519,1754344787,b26e96de
1906357978589249536,这不买了放到转转上？发大财！！,86.016,1754346780,18efc53b
1906377377547104000,大卫戴,32.93,1754349092,1213a848
1906389179899221504,除非特别有能力，不然先减体重吧,7.839,1754350499,7dbbe521
1906418982425519104,8小时，双休，顶格缴纳的七险二金，税后5500，什么含金量，比大多数民企好了。而且还是这么大胃袋的人都能干的活。,164.877,1754354052,48ae236a
1906436438808521728,。。。,160.227,1754356133,bee9602e
1906442452760612352,哪里精彩？,78.883,1754356850,cec1ed84
1906450387989395968,临时工吧,6.514,1754357796,354db40b
1906457982590813440,怎么能到手5500呢,180.81,1754358701,5e57a7c7
1906462159782271232,库管吗,241.146,1754359199,43c2d86d
1906466099591913728,这37！？,49.661,1754359669,327b7510
1906496014106443008,很正常,272.51,1754363235,746975a6
1906501911247445504,？？？？,160.269,1754363938,5ef2d5ab
1906565734872949248,内检太厉害了，不需要那么多人了。,17.114,1754371546,2dd7e899
1906566027115142656,椅子链接发一下,50.579,1754371581,970ecc16
1906573546520589568,我们也是国企，也降工资了,216.997,1754372477,ed033a62
1906592835285972480,10项全能,269.622,1754374777,6482dd7d
1906595600749806848,别也为上海就是发财的地方，看行业岗位的，平均算这工资可能是大部分人的水平了,187.067,1754375107,fb75cd47
1906659627824001792,讲真30个真不算多……,66.581,1754382739,7d4c413f
1906686497047454208,肯定合同工,10.154,1754385942,a4a0ecec
1906687710559892480,土木老哥?,1.585,1754386087,a183f6fe
1906697893532684800,我6年没上班了，还不知道咋搞呢，你才哪到哪,180.642,1754387301,d9b61cd6
1906699280354671360,一年多两年了，哈哈哈不过还好我是会阶段性泡健身房的,44.681,1754387466,91cdb97e
1906702739959373312,魔幻,164.694,1754387879,78de4513
1906705789923018496,嗯，程序员？,165.048,1754388242,bc329543
1906711066164294656,讲实话就行，挺好的,349.581,1754388871,9af2142c
1906716164550496768,失业一年的路过,30.882,1754389479,c75833f4
1906742135177456640,双休就很吸引人,180.473,1754392575,c9d50475
1906744766675734528,.,67.39,1754392888,9b357628
1906761284054590720,黄杨：我妈愿意亮出一个玻璃耳环，也要让我做大明星工作,54.231,1754394858,f5731f3c
1906763435648512000,天啊，真心建议自律减肥啊……工作的事情先放一下,49.058,1754395114,f951797c
1906764739624285952,爱说实话是个好公司,349.073,1754395269,f5731f3c
1906770165643979264,上海一顿饭都不止5500,187.759,1754395916,9f11b7ca
1906819940959823104,拜良子为师开直播吧,42.614,1754401850,b0fbeeb2
1907243490258321664,很真实了,237.858,1754452341,bbf17a0f
1907273292558480384,还可以啦,169.044,1754455894,bcf3ec91
1907288495190206976,大卫戴,35.113,1754457706,584fab30
1907289918594437120,提前说蛮好的,346.114,1754457876,dfde56fe
1907307449694800128,保安？,197.355,1754459966,84180b6a
1907421928944161024,那就是最低社保,171.559,1754473613,dd454768
1908116779667542272,居然不是转转,88.712,1754556445,f5653e8b
1908422663127635712,现在国企被裁的多了去了，有指标的，裁百分之多少这样,8.483,1754592909,10f70f79
1908618093735853568,37岁？,22.088,1754616206,b03f8887
1908768929607210752,最好是万能侠,261.315,1754634188,5f54c30b
1908987662124405248,阿弥陀佛。南无离怖畏如来,1.834,1754660262,4e041c11
1909660563115022592,弹幕以为上海行行都是互联网这种薪资啊。,170.655,1754740479,a8173df2
1910216127494038784,外资大撤退,356.642,1754806707,8c26323
1912029143566923776,怎么称大胃袋了,50.078,1755022835,b700847a
1912476791491721472,体重也是自我管理的一环,16.169,1755076199,894e61bc
1912477228294994432,先瘦下来吧，这不健康了,46.728,1755076251,894e61bc
1912479947848188672,大哥，你走个楼梯可能都喘了，先瘦下来,130.711,1755076575,894e61bc
1913748192399415808,少太多了 ,213.069,1755227762,7822f775
1915470430480395776,恩师：良子,50.658,1755433069,564b9c52
1917584876291906816,真实,122.866,1755685130,578f4c4a
1925604519958738176,大胃袋,35.434,1756641146,dd029a31
1925991294422125056,有没可能，没有机会,78.631,1756687253,ba79a834
2021891584903907072,仓库管理,234.748,1768119459,1484191
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1905948185667565056,美资企业要撤离？,364.613,1754297929,80e49225
1905948488815261696,暑期,412.734,1754297965,80e49225
1905954670799707392,我很幸运，又找到工作了,512.551,1754298702,e693939b
1905959920969660160,笑起来肚子一直在抽动   好可爱,455.994,1754299328,f126ad66
1905970739765786624,心态不错,568.289,1754300617,9df8fade
1906002795640283136,天都聊黑了,515.52,1754304439,1b5f6e45
1906027691258800384,别往窗户那边靠不安全,554.524,1754307406,81699c47
1906032939541158656,考虑出去骑行吗？川藏线滇藏线青藏线,547.451,1754308032,9db85c1c
1906075497810050304,该减肥了,589.282,1754313105,605fc1f2
1906128493117668352,很赞,575.102,1754319423,7a04bc76
1906183782139725568,没有外企，岂不就要坐吃空响了。。,408.227,1754326014,98a4dd72
1906263871401007104,哎，经济太差了,447.294,1754335561,1932426a
1906397511976456704,就是这个说法！赞！！,575.05,1754351492,d8a1051a
1906404697280603136,很棒耶，这个想法。,582.235,1754352349,ca399b7c
1906513505906607104,泪目了,378.998,1754365320,d5c82f1
1906624427077597952,兄弟是实在人,529.152,1754378543,1d7a170
1906627749125176832,挺乐观的,472.19,1754378939,f5197f81
1906642019430881792,中年人的心酸谁懂,384.218,1754380640,f45f075
1906642446042010112,人心中的山不止一座，唉…,388.363,1754380691,f45f075
1906643291907182336,恋爱也好，结婚也罢，工作饭碗都保不住，怎么进行下一步…,397.199,1754380792,f45f075
1906644338771858944,心态一定要好，乐观,502.493,1754380917,f45f075
1906719540805965568,谈吐挺好的,480.111,1754389881,7c9e742
1906720421072983808,谢谢了,574.293,1754389986,7c9e742
1906744321307529728,如果是上海户口的话，开滴滴还赚钱点,428.518,1754392835,c9d50475
1906765123092633088,这么好,378.896,1754395315,f5731f3c
1907291112687571712,就是要心态好,555.351,1754458018,dfde56fe
1907885237284352256,Rakuten小区是吧,476.684,1754528843,2718af57
1908135319229214720,外资的赔偿差不多还正规点,381.495,1754558655,eb71623f
1908137585898239232,是的光在那唉声叹气怨天尤人，解决不了实际问题，是实话，还是得找点事情做,540.146,1754558925,eb71623f
1908428510549214720,现在失业的以后可能再也找不到办公室工作了，只能做做服务行业,524.579,1754593606,10f70f79
1909080582735204608,被老哥这句话感动到了,564.68,1754671339,1fec569e
1917505027657403648,这是上海土著有房的,562.847,1755675612,268581ab
1925061469998218240,为什么套个救生圈,501.312,1756576410,f8616d23
2051343449236105728,你是有房，没房租房就是另一种人生了,512.815,1771630395,95c2b0e8
2059193422098637312,心态还是很好，打击是肯定的，我都抑郁了,547.288,1772566184,4b7a883
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
