danmaku_id,content,progress,ctime,user_hash
1626779336248134656,人类,12.419,1721018408,77233fb9
1626783466454732800,他还垄断了汽车行业。他都说不用买车了，那些卖车的怎么办？而且萝卜快跑那车看起来就一模一样。说明他顶多能让一家企业不被代替，别的车长怎么活？,19.708,1721018901,5975a24b
1626798115296199424,小说也开始了,9.439,1721020647,8078120c
1626832829294152192,出车祸了谁负责我就问一下,17.379,1721024785,c0156b7d
1626853290979566336,取代以前的人工智能,3.439,1721027225,d2e0db67
1626897103722823424,徳拉曼…,16.904,1721032447,55673eae
1626955383266376448,在武汉我反正不愿意把钱交给司机,36.853,1721039395,81fbf787
1626971147373699584,人工智能下一个会取代人类,1.641,1721041274,40bdaebe
1626974855356719872,所以呢？这是坏事？只要你功底硬，就不会被取代,11.09,1721041716,67f3bc7
1626983868965926912,"所以呢，无人扫地机清洁工也不干了, ",38.859,1721042791,1fd4fef
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1626642180938795776,出租车司机可以去应聘安全员 这车实际上也有安全员在干,18.089,1721002058,7f39348b
1626701117209580800,时代在进步，为了更好的生活,17.21,1721009084,7191d6a3
1626721287760340736,扫地工人：6,34.653,1721011489,b386136e
1626741969655003904,但是我们什么也做不了，真的感觉有点窒息了,39.219,1721013954,13a06979
1626757674689814272,以后人类都扫不上地洗不上碗了,39.199,1721015826,4978c25b
1626763711173775104,AI应该代替人类去做那些高风险工作,27.623,1721016546,f442e441
1626776846601429248,希望更多人看到！,0.0,1721018112,c2b777af
1626776994006019072,希望更多人看到！,10.864,1721018129,c2b777af
1626778918210351360,怎么可能没有给机会，不管怎么说智能汽车完善还要好久,31.911,1721018359,b36137fa
1626779336248134656,人类,12.419,1721018408,77233fb9
1626783466454732800,他还垄断了汽车行业。他都说不用买车了，那些卖车的怎么办？而且萝卜快跑那车看起来就一模一样。说明他顶多能让一家企业不被代替，别的车长怎么活？,19.708,1721018901,5975a24b
1626798115296199424,小说也开始了,9.439,1721020647,8078120c
1626832829294152192,出车祸了谁负责我就问一下,17.379,1721024785,c0156b7d
1626853290979566336,取代以前的人工智能,3.439,1721027225,d2e0db67
1626897103722823424,徳拉曼…,16.904,1721032447,55673eae
1626955383266376448,在武汉我反正不愿意把钱交给司机,36.853,1721039395,81fbf787
1626971147373699584,人工智能下一个会取代人类,1.641,1721041274,40bdaebe
1626974855356719872,所以呢？这是坏事？只要你功底硬，就不会被取代,11.09,1721041716,67f3bc7
1626983868965926912,"所以呢，无人扫地机清洁工也不干了, ",38.859,1721042791,1fd4fef
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1626642180938795776,出租车司机可以去应聘安全员 这车实际上也有安全员在干,18.089,1721002058,7f39348b
1626701117209580800,时代在进步，为了更好的生活,17.21,1721009084,7191d6a3
1626721287760340736,扫地工人：6,34.653,1721011489,b386136e
1626741969655003904,但是我们什么也做不了，真的感觉有点窒息了,39.219,1721013954,13a06979
1626757674689814272,以后人类都扫不上地洗不上碗了,39.199,1721015826,4978c25b
1626763711173775104,AI应该代替人类去做那些高风险工作,27.623,1721016546,f442e441
1626776846601429248,希望更多人看到！,0.0,1721018112,c2b777af
1626776994006019072,希望更多人看到！,10.864,1721018129,c2b777af
1626778918210351360,怎么可能没有给机会，不管怎么说智能汽车完善还要好久,31.911,1721018359,b36137fa
1626779336248134656,人类,12.419,1721018408,77233fb9
1626783466454732800,他还垄断了汽车行业。他都说不用买车了，那些卖车的怎么办？而且萝卜快跑那车看起来就一模一样。说明他顶多能让一家企业不被代替，别的车长怎么活？,19.708,1721018901,5975a24b
1626798115296199424,小说也开始了,9.439,1721020647,8078120c
1626832829294152192,出车祸了谁负责我就问一下,17.379,1721024785,c0156b7d
1626853290979566336,取代以前的人工智能,3.439,1721027225,d2e0db67
1626897103722823424,徳拉曼…,16.904,1721032447,55673eae
1626955383266376448,在武汉我反正不愿意把钱交给司机,36.853,1721039395,81fbf787
1626971147373699584,人工智能下一个会取代人类,1.641,1721041274,40bdaebe
1626974855356719872,所以呢？这是坏事？只要你功底硬，就不会被取代,11.09,1721041716,67f3bc7
1626983868965926912,"所以呢，无人扫地机清洁工也不干了, ",38.859,1721042791,1fd4fef
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1626642180938795776,出租车司机可以去应聘安全员 这车实际上也有安全员在干,18.089,1721002058,7f39348b
1626701117209580800,时代在进步，为了更好的生活,17.21,1721009084,7191d6a3
1626721287760340736,扫地工人：6,34.653,1721011489,b386136e
1626741969655003904,但是我们什么也做不了，真的感觉有点窒息了,39.219,1721013954,13a06979
1626757674689814272,以后人类都扫不上地洗不上碗了,39.199,1721015826,4978c25b
1626763711173775104,AI应该代替人类去做那些高风险工作,27.623,1721016546,f442e441
1626776846601429248,希望更多人看到！,0.0,1721018112,c2b777af
1626776994006019072,希望更多人看到！,10.864,1721018129,c2b777af
1626778918210351360,怎么可能没有给机会，不管怎么说智能汽车完善还要好久,31.911,1721018359,b36137fa
1626779336248134656,人类,12.419,1721018408,77233fb9
1626783466454732800,他还垄断了汽车行业。他都说不用买车了，那些卖车的怎么办？而且萝卜快跑那车看起来就一模一样。说明他顶多能让一家企业不被代替，别的车长怎么活？,19.708,1721018901,5975a24b
1626798115296199424,小说也开始了,9.439,1721020647,8078120c
1626832829294152192,出车祸了谁负责我就问一下,17.379,1721024785,c0156b7d
1626853290979566336,取代以前的人工智能,3.439,1721027225,d2e0db67
1626897103722823424,徳拉曼…,16.904,1721032447,55673eae
1626955383266376448,在武汉我反正不愿意把钱交给司机,36.853,1721039395,81fbf787
1626971147373699584,人工智能下一个会取代人类,1.641,1721041274,40bdaebe
1626974855356719872,所以呢？这是坏事？只要你功底硬，就不会被取代,11.09,1721041716,67f3bc7
1626983868965926912,"所以呢，无人扫地机清洁工也不干了, ",38.859,1721042791,1fd4fef
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
