danmaku_id,content,progress,ctime,user_hash
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805313629734880768,难绷，什么金木研,208.174,1742301355,a7f2b9ea
1805313691349425408,《骨科康复》,0.091,1742301362,68440bc1
1805405647588713472,我会吐，刷牙都会想吐,283.265,1742312324,a60ef20
1805668244246969856,嘿嘿,264.394,1742343628,c103358a
1806106044096124672,额,268.762,1742395818,be38b997
1806144008402556416,感谢,122.056,1742400344,8647368f
1807855297788659200,好的环境嗯哼嗯,117.226,1742604345,9563d415
1816273161630128896,火鸡语也行,262.821,1743607833,9a8a2e25
1816579589460633344,进我收藏夹吃灰！,4.845,1743644362,b8ce6ad6
1842177280223390976,有效果,190.348,1746695844,831d5ae0
1845190349241897216,气泡音,271.016,1747055030,f927a5c9
1852402419049926912,基本全中,19.211,1747914776,14fd643f
1856675956287809024,没有电动牙刷可以用别的代替么,310.103,1748424221,4052e2ad
1871994489120360960,音调不对，重说,261.741,1750250333,54750f5c
1895632651244051456,有用,238.401,1753068221,bd1d8261
1897914029583041792,做一组感觉困了…,129.116,1753340183,33dcdfbe
1918084626237866240,呛到了,270.296,1755744705,39e9fe4
1919836601010806784,中医有个方法叫耳穴压豆，去康复科应该能做,303.552,1755953557,fbf5ad8d
1945186587529316352,全中啊我的天,10.477,1758975511,71b3aee5
1985453773132767488,懂了，出去骑车，边吃口香糖边100-7-7-7……,246.371,1763775733,3a000dd3
1992678159061235456,背单词？,215.295,1764636947,d9594b4a
1999938201288650496,好怕UP说着说着开始RAP（不是,51.652,1765502412,3704b3c7
2017858600991210496,这个看多久？,162.497,1767638690,9dcaf49e
2022023874191450368,最难受的时候喝水 吃东西 都有那么一点用,252.363,1768135229,30113f76
2028231850094557440,好了，学会了丰容去,71.303,1768875277,c05e1c27
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1805681367753806848,内容不错哦，up主加油！,568.355,1742345193,e0cf5980
1808016627699809792,是不是原地转圈也是训练前庭的,426.12,1742623577,7c62f5c3
1812948397188109312,前庭训练深呼吸这些都是八段锦练习中一部分啊,430.06,1743211490,66a9f51f
1820239091195892736,真的有用,440.088,1744080608,1e496a73
1876369052218747904,大可不必，急性焦虑，试了之后，立竿见影,481.262,1750771821,39865244
1885044469410814976,比如说这个背景音乐,498.099,1751806011,d298febb
1895209026355222016,我喜欢听，不会是听多了吧（,501.563,1753017721,38a37876
1973892616848619520,哈，我就是长期慢性炎症,539.771,1762397536,25b13ec8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
