danmaku_id,content,progress,ctime,user_hash
1758888999583333888,寻求专业医生帮助，绝对比瞎折腾强。吃药也不会耽误你进行认知调整和心理治疗,570.02,1736767108,866fd4bc
1783295540651114496,自己扛不过来了就得吃，跟大自然较什么劲,496.62,1739676594,3e1fa239
2076224666120903424,复发正常的,671.25,1774596467,29c0941d
2076224839437946880,身体健康最重要,697.084,1774596488,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661085758452614656,感觉内心戾气好重，看啥都不顺眼 但又不想这样,4.754,1725108053,9e7e5709
1661100567214685184,我觉得有道理。,67.111,1725109818,7a3a5881
1661157575707909632,焦虑症最好方法就是直面自己心底最焦虑的那个点，过了就慢慢好了,134.968,1725116614,ced6ab90
1661420563383680512,不吃，没用，慢慢养身体,6.091,1725147965,7dc7972c
1661718895696244992,医生给你开中药,127.059,1725183528,ebd4a9ca
1661753121468064512,确实,185.018,1725187609,a7ac57cd
1662159491887938560,六大重疾还是需要药物治疗的,49.624,1725236052,123a3e7f
1662280592919864320,因人而异,19.642,1725250488,11fbc2a
1662334062125596672,我同意,76.097,1725256862,1ec7bfa8
1662353217109071360,中度轻度不需要，重度以防万一还是吃吧,93.616,1725259145,f49c32f5
1662477418595630848,张朝阳似懂非懂,61.359,1725273951,9eeeceb0
1662619047776412928,医生都会鼓励吃药，哪怕轻度，毕竟目前药物见效快，副作用小，成本低(相对于心理咨询),113.394,1725290835,10a3e370
1663174375915999488,张朝阳是大量阅读多学科纵向横向弄清所以然而非药而愈,129.119,1725357035,4e5141ab
1663175256552488448,张朝阳同时也阅读了哲学和金刚经心经,137.099,1725357140,4e5141ab
1663989285512724736,相信药有用就有用,28.859,1725454180,60315d44
1664762253125971200,对对对对对对对,188.149,1725546325,21299ce3
1665212341589157376,重度时候药物非常有用  可以减轻极大的痛苦  ,58.208,1725599980,d5c88aca
1665400317325890304,但我只能吃药,3.379,1725622388,cd34c672
1665856039695825664,双相,37.874,1725676714,2f4e3f09
1666554861551987200,确实没用，只能暂时麻痹、控制，根源还得靠自己或者环境的改变,28.6,1725760021,ad0a5019
1666644775535555584,吃,15.019,1725770739,ff711c65
1666773171627506688,他发作过吗？他也不知道重度焦虑惊恐发作的时候多痛苦啊,68.919,1725786045,8d593e0c
1670816421183043584,发烧吃退烧药一个道理，只有烧到一定读书，才会选择无奈之举的退烧药，而吃退烧药并不能杀病毒，只是让你觉得你不烧了 你好了,8.8,1726268038,227d740
1672607405928199424,这个确实,217.138,1726481540,69f11281
1674085451268977920,不吃，我肯定不吃,3.379,1726657737,241863cc
1674689879382454784,但是你睡眠极差，肯定要吃，不吃更恍惚，看状态，别一概而论,38.919,1726729790,1d8d0f9d
1675330434613169920,简单，放下一切不好吗？身体啥症状都没了,32.779,1726806150,862b68c2
1676897858248279040,用药一定要在专业医生的指导下谨慎用药,345.438,1726993002,8fb1613b
1679719761912614912,至少他没有让你报班，也没有卖你药,212.606,1727329399,937f1b50
1679903973538558464,在吃。,8.579,1727351359,9c5f04ae
1679935381401655552,不吃,7.299,1727355103,8e57fb53
1687037849037500160,对医生的信任度  应该是大部分人担忧的一个问题,117.825,1728201783,d0ceca5e
1694267198153440256,也许这个张朝阳是症状比较轻的,25.139,1729063588,31b60b6f
1694282017031791616,我想知道有没有跟我一样的就心悸了一次然后疑病然后就开始网上一顿搜，然后就睡不着了，我现在症状晚上睡觉多梦也不是噩梦，然后眼睛不对焦一直存在，类似于我发的图片这种，注意力不是很集中，,295.474,1729065355,c392c7e2
1740875709091969792,医生说吃药控制过度的焦虑，等自己能控制好或者改变好以后再慢慢减药,159.895,1734619756,e61ebc5e
1744010942095561216,你问就是吃啊,125.365,1734993505,7fc7025
1774830826166144512,我觉得张朝阳说的正确，心理疾病最重要的是靠自己去面对治愈，靠药物治愈几乎是不可能的，而且还会有依赖，所以国外对心理疾病那么重视，因为它其实是无药可救的。,133.071,1738667521,95ec0450
1883002681762027264,不用药 不管用,224.091,1751562611,f3203503
1913949615360337152,不是想通，也不是吃药完全好，是事情会过去,36.118,1755251773,af7ed2f6
1921956923453170688,吃过，没用，反而有副作用,50.298,1756206319,39e3391b
1921984317257836544,关键是放不下,48.83,1756209584,cfa96dc2
2003708038569179392,我也在纠结要不要吃药，不过我还没吃，每天药物放在那儿，我就心安理得了,95.68,1765951811,469d87e0
2021278223593850112,要是没事肯定找个山清水秀地方慢慢养啊，天天要上学科研的咋慢慢养,17.858,1768046341,5d8cd07d
2076219249085067008,不是有道理，他就是懂原理,85.039,1774595821,29c0941d
2076219478613986560,心理治疗是免费的……,87.927,1774595848,29c0941d
2076219735850745344,看书,115.562,1774595879,29c0941d
2076219851068456704,医生只会开药，不会判断,121.853,1774595893,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661101177653489664,反复横跳,364.8,1725109891,4891d871
1661696979258298112,得吃，我吃了好多了,485.523,1725180916,f5949bc2
1661761855091304704,命运还是只能由自己决定,544.546,1725188650,a7ac57cd
1661913432305214976,不要突然停药，会反弹很厉害,623.319,1725206719,6b772a2d
1663736510069428992,所以，最终还是要靠自己来拯救自己,674.586,1725424047,6f417def
1673730354529486080,知道了原因又能怎么办,465.535,1726615406,6d684ada
1679770615903372288,知道了原因不就好解决问题了,469.354,1727335461,1fd97f03
1687038711327645952,不知道自己是轻还是重 每个人耐受能力不一样,531.792,1728201886,d0ceca5e
1706631352747110912,我也是睡不着,420.815,1730537511,a829b654
1732257835242964736,你好,436.087,1733592425,72e91670
1732258175543587584,me too 我也睡不着,448.166,1733592466,72e91670
1758888999583333888,寻求专业医生帮助，绝对比瞎折腾强。吃药也不会耽误你进行认知调整和心理治疗,570.02,1736767108,866fd4bc
1783295540651114496,自己扛不过来了就得吃，跟大自然较什么劲,496.62,1739676594,3e1fa239
2076224666120903424,复发正常的,671.25,1774596467,29c0941d
2076224839437946880,身体健康最重要,697.084,1774596488,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661085758452614656,感觉内心戾气好重，看啥都不顺眼 但又不想这样,4.754,1725108053,9e7e5709
1661100567214685184,我觉得有道理。,67.111,1725109818,7a3a5881
1661157575707909632,焦虑症最好方法就是直面自己心底最焦虑的那个点，过了就慢慢好了,134.968,1725116614,ced6ab90
1661420563383680512,不吃，没用，慢慢养身体,6.091,1725147965,7dc7972c
1661718895696244992,医生给你开中药,127.059,1725183528,ebd4a9ca
1661753121468064512,确实,185.018,1725187609,a7ac57cd
1662159491887938560,六大重疾还是需要药物治疗的,49.624,1725236052,123a3e7f
1662280592919864320,因人而异,19.642,1725250488,11fbc2a
1662334062125596672,我同意,76.097,1725256862,1ec7bfa8
1662353217109071360,中度轻度不需要，重度以防万一还是吃吧,93.616,1725259145,f49c32f5
1662477418595630848,张朝阳似懂非懂,61.359,1725273951,9eeeceb0
1662619047776412928,医生都会鼓励吃药，哪怕轻度，毕竟目前药物见效快，副作用小，成本低(相对于心理咨询),113.394,1725290835,10a3e370
1663174375915999488,张朝阳是大量阅读多学科纵向横向弄清所以然而非药而愈,129.119,1725357035,4e5141ab
1663175256552488448,张朝阳同时也阅读了哲学和金刚经心经,137.099,1725357140,4e5141ab
1663989285512724736,相信药有用就有用,28.859,1725454180,60315d44
1664762253125971200,对对对对对对对,188.149,1725546325,21299ce3
1665212341589157376,重度时候药物非常有用  可以减轻极大的痛苦  ,58.208,1725599980,d5c88aca
1665400317325890304,但我只能吃药,3.379,1725622388,cd34c672
1665856039695825664,双相,37.874,1725676714,2f4e3f09
1666554861551987200,确实没用，只能暂时麻痹、控制，根源还得靠自己或者环境的改变,28.6,1725760021,ad0a5019
1666644775535555584,吃,15.019,1725770739,ff711c65
1666773171627506688,他发作过吗？他也不知道重度焦虑惊恐发作的时候多痛苦啊,68.919,1725786045,8d593e0c
1670816421183043584,发烧吃退烧药一个道理，只有烧到一定读书，才会选择无奈之举的退烧药，而吃退烧药并不能杀病毒，只是让你觉得你不烧了 你好了,8.8,1726268038,227d740
1672607405928199424,这个确实,217.138,1726481540,69f11281
1674085451268977920,不吃，我肯定不吃,3.379,1726657737,241863cc
1674689879382454784,但是你睡眠极差，肯定要吃，不吃更恍惚，看状态，别一概而论,38.919,1726729790,1d8d0f9d
1675330434613169920,简单，放下一切不好吗？身体啥症状都没了,32.779,1726806150,862b68c2
1676897858248279040,用药一定要在专业医生的指导下谨慎用药,345.438,1726993002,8fb1613b
1679719761912614912,至少他没有让你报班，也没有卖你药,212.606,1727329399,937f1b50
1679903973538558464,在吃。,8.579,1727351359,9c5f04ae
1679935381401655552,不吃,7.299,1727355103,8e57fb53
1687037849037500160,对医生的信任度  应该是大部分人担忧的一个问题,117.825,1728201783,d0ceca5e
1694267198153440256,也许这个张朝阳是症状比较轻的,25.139,1729063588,31b60b6f
1694282017031791616,我想知道有没有跟我一样的就心悸了一次然后疑病然后就开始网上一顿搜，然后就睡不着了，我现在症状晚上睡觉多梦也不是噩梦，然后眼睛不对焦一直存在，类似于我发的图片这种，注意力不是很集中，,295.474,1729065355,c392c7e2
1740875709091969792,医生说吃药控制过度的焦虑，等自己能控制好或者改变好以后再慢慢减药,159.895,1734619756,e61ebc5e
1744010942095561216,你问就是吃啊,125.365,1734993505,7fc7025
1774830826166144512,我觉得张朝阳说的正确，心理疾病最重要的是靠自己去面对治愈，靠药物治愈几乎是不可能的，而且还会有依赖，所以国外对心理疾病那么重视，因为它其实是无药可救的。,133.071,1738667521,95ec0450
1883002681762027264,不用药 不管用,224.091,1751562611,f3203503
1913949615360337152,不是想通，也不是吃药完全好，是事情会过去,36.118,1755251773,af7ed2f6
1921956923453170688,吃过，没用，反而有副作用,50.298,1756206319,39e3391b
1921984317257836544,关键是放不下,48.83,1756209584,cfa96dc2
2003708038569179392,我也在纠结要不要吃药，不过我还没吃，每天药物放在那儿，我就心安理得了,95.68,1765951811,469d87e0
2021278223593850112,要是没事肯定找个山清水秀地方慢慢养啊，天天要上学科研的咋慢慢养,17.858,1768046341,5d8cd07d
2076219249085067008,不是有道理，他就是懂原理,85.039,1774595821,29c0941d
2076219478613986560,心理治疗是免费的……,87.927,1774595848,29c0941d
2076219735850745344,看书,115.562,1774595879,29c0941d
2076219851068456704,医生只会开药，不会判断,121.853,1774595893,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661101177653489664,反复横跳,364.8,1725109891,4891d871
1661696979258298112,得吃，我吃了好多了,485.523,1725180916,f5949bc2
1661761855091304704,命运还是只能由自己决定,544.546,1725188650,a7ac57cd
1661913432305214976,不要突然停药，会反弹很厉害,623.319,1725206719,6b772a2d
1663736510069428992,所以，最终还是要靠自己来拯救自己,674.586,1725424047,6f417def
1673730354529486080,知道了原因又能怎么办,465.535,1726615406,6d684ada
1679770615903372288,知道了原因不就好解决问题了,469.354,1727335461,1fd97f03
1687038711327645952,不知道自己是轻还是重 每个人耐受能力不一样,531.792,1728201886,d0ceca5e
1706631352747110912,我也是睡不着,420.815,1730537511,a829b654
1732257835242964736,你好,436.087,1733592425,72e91670
1732258175543587584,me too 我也睡不着,448.166,1733592466,72e91670
1758888999583333888,寻求专业医生帮助，绝对比瞎折腾强。吃药也不会耽误你进行认知调整和心理治疗,570.02,1736767108,866fd4bc
1783295540651114496,自己扛不过来了就得吃，跟大自然较什么劲,496.62,1739676594,3e1fa239
2076224666120903424,复发正常的,671.25,1774596467,29c0941d
2076224839437946880,身体健康最重要,697.084,1774596488,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661085758452614656,感觉内心戾气好重，看啥都不顺眼 但又不想这样,4.754,1725108053,9e7e5709
1661100567214685184,我觉得有道理。,67.111,1725109818,7a3a5881
1661157575707909632,焦虑症最好方法就是直面自己心底最焦虑的那个点，过了就慢慢好了,134.968,1725116614,ced6ab90
1661420563383680512,不吃，没用，慢慢养身体,6.091,1725147965,7dc7972c
1661718895696244992,医生给你开中药,127.059,1725183528,ebd4a9ca
1661753121468064512,确实,185.018,1725187609,a7ac57cd
1662159491887938560,六大重疾还是需要药物治疗的,49.624,1725236052,123a3e7f
1662280592919864320,因人而异,19.642,1725250488,11fbc2a
1662334062125596672,我同意,76.097,1725256862,1ec7bfa8
1662353217109071360,中度轻度不需要，重度以防万一还是吃吧,93.616,1725259145,f49c32f5
1662477418595630848,张朝阳似懂非懂,61.359,1725273951,9eeeceb0
1662619047776412928,医生都会鼓励吃药，哪怕轻度，毕竟目前药物见效快，副作用小，成本低(相对于心理咨询),113.394,1725290835,10a3e370
1663174375915999488,张朝阳是大量阅读多学科纵向横向弄清所以然而非药而愈,129.119,1725357035,4e5141ab
1663175256552488448,张朝阳同时也阅读了哲学和金刚经心经,137.099,1725357140,4e5141ab
1663989285512724736,相信药有用就有用,28.859,1725454180,60315d44
1664762253125971200,对对对对对对对,188.149,1725546325,21299ce3
1665212341589157376,重度时候药物非常有用  可以减轻极大的痛苦  ,58.208,1725599980,d5c88aca
1665400317325890304,但我只能吃药,3.379,1725622388,cd34c672
1665856039695825664,双相,37.874,1725676714,2f4e3f09
1666554861551987200,确实没用，只能暂时麻痹、控制，根源还得靠自己或者环境的改变,28.6,1725760021,ad0a5019
1666644775535555584,吃,15.019,1725770739,ff711c65
1666773171627506688,他发作过吗？他也不知道重度焦虑惊恐发作的时候多痛苦啊,68.919,1725786045,8d593e0c
1670816421183043584,发烧吃退烧药一个道理，只有烧到一定读书，才会选择无奈之举的退烧药，而吃退烧药并不能杀病毒，只是让你觉得你不烧了 你好了,8.8,1726268038,227d740
1672607405928199424,这个确实,217.138,1726481540,69f11281
1674085451268977920,不吃，我肯定不吃,3.379,1726657737,241863cc
1674689879382454784,但是你睡眠极差，肯定要吃，不吃更恍惚，看状态，别一概而论,38.919,1726729790,1d8d0f9d
1675330434613169920,简单，放下一切不好吗？身体啥症状都没了,32.779,1726806150,862b68c2
1676897858248279040,用药一定要在专业医生的指导下谨慎用药,345.438,1726993002,8fb1613b
1679719761912614912,至少他没有让你报班，也没有卖你药,212.606,1727329399,937f1b50
1679903973538558464,在吃。,8.579,1727351359,9c5f04ae
1679935381401655552,不吃,7.299,1727355103,8e57fb53
1687037849037500160,对医生的信任度  应该是大部分人担忧的一个问题,117.825,1728201783,d0ceca5e
1694267198153440256,也许这个张朝阳是症状比较轻的,25.139,1729063588,31b60b6f
1694282017031791616,我想知道有没有跟我一样的就心悸了一次然后疑病然后就开始网上一顿搜，然后就睡不着了，我现在症状晚上睡觉多梦也不是噩梦，然后眼睛不对焦一直存在，类似于我发的图片这种，注意力不是很集中，,295.474,1729065355,c392c7e2
1740875709091969792,医生说吃药控制过度的焦虑，等自己能控制好或者改变好以后再慢慢减药,159.895,1734619756,e61ebc5e
1744010942095561216,你问就是吃啊,125.365,1734993505,7fc7025
1774830826166144512,我觉得张朝阳说的正确，心理疾病最重要的是靠自己去面对治愈，靠药物治愈几乎是不可能的，而且还会有依赖，所以国外对心理疾病那么重视，因为它其实是无药可救的。,133.071,1738667521,95ec0450
1883002681762027264,不用药 不管用,224.091,1751562611,f3203503
1913949615360337152,不是想通，也不是吃药完全好，是事情会过去,36.118,1755251773,af7ed2f6
1921956923453170688,吃过，没用，反而有副作用,50.298,1756206319,39e3391b
1921984317257836544,关键是放不下,48.83,1756209584,cfa96dc2
2003708038569179392,我也在纠结要不要吃药，不过我还没吃，每天药物放在那儿，我就心安理得了,95.68,1765951811,469d87e0
2021278223593850112,要是没事肯定找个山清水秀地方慢慢养啊，天天要上学科研的咋慢慢养,17.858,1768046341,5d8cd07d
2076219249085067008,不是有道理，他就是懂原理,85.039,1774595821,29c0941d
2076219478613986560,心理治疗是免费的……,87.927,1774595848,29c0941d
2076219735850745344,看书,115.562,1774595879,29c0941d
2076219851068456704,医生只会开药，不会判断,121.853,1774595893,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661101177653489664,反复横跳,364.8,1725109891,4891d871
1661696979258298112,得吃，我吃了好多了,485.523,1725180916,f5949bc2
1661761855091304704,命运还是只能由自己决定,544.546,1725188650,a7ac57cd
1661913432305214976,不要突然停药，会反弹很厉害,623.319,1725206719,6b772a2d
1663736510069428992,所以，最终还是要靠自己来拯救自己,674.586,1725424047,6f417def
1673730354529486080,知道了原因又能怎么办,465.535,1726615406,6d684ada
1679770615903372288,知道了原因不就好解决问题了,469.354,1727335461,1fd97f03
1687038711327645952,不知道自己是轻还是重 每个人耐受能力不一样,531.792,1728201886,d0ceca5e
1706631352747110912,我也是睡不着,420.815,1730537511,a829b654
1732257835242964736,你好,436.087,1733592425,72e91670
1732258175543587584,me too 我也睡不着,448.166,1733592466,72e91670
1758888999583333888,寻求专业医生帮助，绝对比瞎折腾强。吃药也不会耽误你进行认知调整和心理治疗,570.02,1736767108,866fd4bc
1783295540651114496,自己扛不过来了就得吃，跟大自然较什么劲,496.62,1739676594,3e1fa239
2076224666120903424,复发正常的,671.25,1774596467,29c0941d
2076224839437946880,身体健康最重要,697.084,1774596488,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661085758452614656,感觉内心戾气好重，看啥都不顺眼 但又不想这样,4.754,1725108053,9e7e5709
1661100567214685184,我觉得有道理。,67.111,1725109818,7a3a5881
1661157575707909632,焦虑症最好方法就是直面自己心底最焦虑的那个点，过了就慢慢好了,134.968,1725116614,ced6ab90
1661420563383680512,不吃，没用，慢慢养身体,6.091,1725147965,7dc7972c
1661718895696244992,医生给你开中药,127.059,1725183528,ebd4a9ca
1661753121468064512,确实,185.018,1725187609,a7ac57cd
1662159491887938560,六大重疾还是需要药物治疗的,49.624,1725236052,123a3e7f
1662280592919864320,因人而异,19.642,1725250488,11fbc2a
1662334062125596672,我同意,76.097,1725256862,1ec7bfa8
1662353217109071360,中度轻度不需要，重度以防万一还是吃吧,93.616,1725259145,f49c32f5
1662477418595630848,张朝阳似懂非懂,61.359,1725273951,9eeeceb0
1662619047776412928,医生都会鼓励吃药，哪怕轻度，毕竟目前药物见效快，副作用小，成本低(相对于心理咨询),113.394,1725290835,10a3e370
1663174375915999488,张朝阳是大量阅读多学科纵向横向弄清所以然而非药而愈,129.119,1725357035,4e5141ab
1663175256552488448,张朝阳同时也阅读了哲学和金刚经心经,137.099,1725357140,4e5141ab
1663989285512724736,相信药有用就有用,28.859,1725454180,60315d44
1664762253125971200,对对对对对对对,188.149,1725546325,21299ce3
1665212341589157376,重度时候药物非常有用  可以减轻极大的痛苦  ,58.208,1725599980,d5c88aca
1665400317325890304,但我只能吃药,3.379,1725622388,cd34c672
1665856039695825664,双相,37.874,1725676714,2f4e3f09
1666554861551987200,确实没用，只能暂时麻痹、控制，根源还得靠自己或者环境的改变,28.6,1725760021,ad0a5019
1666644775535555584,吃,15.019,1725770739,ff711c65
1666773171627506688,他发作过吗？他也不知道重度焦虑惊恐发作的时候多痛苦啊,68.919,1725786045,8d593e0c
1670816421183043584,发烧吃退烧药一个道理，只有烧到一定读书，才会选择无奈之举的退烧药，而吃退烧药并不能杀病毒，只是让你觉得你不烧了 你好了,8.8,1726268038,227d740
1672607405928199424,这个确实,217.138,1726481540,69f11281
1674085451268977920,不吃，我肯定不吃,3.379,1726657737,241863cc
1674689879382454784,但是你睡眠极差，肯定要吃，不吃更恍惚，看状态，别一概而论,38.919,1726729790,1d8d0f9d
1675330434613169920,简单，放下一切不好吗？身体啥症状都没了,32.779,1726806150,862b68c2
1676897858248279040,用药一定要在专业医生的指导下谨慎用药,345.438,1726993002,8fb1613b
1679719761912614912,至少他没有让你报班，也没有卖你药,212.606,1727329399,937f1b50
1679903973538558464,在吃。,8.579,1727351359,9c5f04ae
1679935381401655552,不吃,7.299,1727355103,8e57fb53
1687037849037500160,对医生的信任度  应该是大部分人担忧的一个问题,117.825,1728201783,d0ceca5e
1694267198153440256,也许这个张朝阳是症状比较轻的,25.139,1729063588,31b60b6f
1694282017031791616,我想知道有没有跟我一样的就心悸了一次然后疑病然后就开始网上一顿搜，然后就睡不着了，我现在症状晚上睡觉多梦也不是噩梦，然后眼睛不对焦一直存在，类似于我发的图片这种，注意力不是很集中，,295.474,1729065355,c392c7e2
1740875709091969792,医生说吃药控制过度的焦虑，等自己能控制好或者改变好以后再慢慢减药,159.895,1734619756,e61ebc5e
1744010942095561216,你问就是吃啊,125.365,1734993505,7fc7025
1774830826166144512,我觉得张朝阳说的正确，心理疾病最重要的是靠自己去面对治愈，靠药物治愈几乎是不可能的，而且还会有依赖，所以国外对心理疾病那么重视，因为它其实是无药可救的。,133.071,1738667521,95ec0450
1883002681762027264,不用药 不管用,224.091,1751562611,f3203503
1913949615360337152,不是想通，也不是吃药完全好，是事情会过去,36.118,1755251773,af7ed2f6
1921956923453170688,吃过，没用，反而有副作用,50.298,1756206319,39e3391b
1921984317257836544,关键是放不下,48.83,1756209584,cfa96dc2
2003708038569179392,我也在纠结要不要吃药，不过我还没吃，每天药物放在那儿，我就心安理得了,95.68,1765951811,469d87e0
2021278223593850112,要是没事肯定找个山清水秀地方慢慢养啊，天天要上学科研的咋慢慢养,17.858,1768046341,5d8cd07d
2076219249085067008,不是有道理，他就是懂原理,85.039,1774595821,29c0941d
2076219478613986560,心理治疗是免费的……,87.927,1774595848,29c0941d
2076219735850745344,看书,115.562,1774595879,29c0941d
2076219851068456704,医生只会开药，不会判断,121.853,1774595893,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661101177653489664,反复横跳,364.8,1725109891,4891d871
1661696979258298112,得吃，我吃了好多了,485.523,1725180916,f5949bc2
1661761855091304704,命运还是只能由自己决定,544.546,1725188650,a7ac57cd
1661913432305214976,不要突然停药，会反弹很厉害,623.319,1725206719,6b772a2d
1663736510069428992,所以，最终还是要靠自己来拯救自己,674.586,1725424047,6f417def
1673730354529486080,知道了原因又能怎么办,465.535,1726615406,6d684ada
1679770615903372288,知道了原因不就好解决问题了,469.354,1727335461,1fd97f03
1687038711327645952,不知道自己是轻还是重 每个人耐受能力不一样,531.792,1728201886,d0ceca5e
1706631352747110912,我也是睡不着,420.815,1730537511,a829b654
1732257835242964736,你好,436.087,1733592425,72e91670
1732258175543587584,me too 我也睡不着,448.166,1733592466,72e91670
1758888999583333888,寻求专业医生帮助，绝对比瞎折腾强。吃药也不会耽误你进行认知调整和心理治疗,570.02,1736767108,866fd4bc
1783295540651114496,自己扛不过来了就得吃，跟大自然较什么劲,496.62,1739676594,3e1fa239
2076224666120903424,复发正常的,671.25,1774596467,29c0941d
2076224839437946880,身体健康最重要,697.084,1774596488,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661085758452614656,感觉内心戾气好重，看啥都不顺眼 但又不想这样,4.754,1725108053,9e7e5709
1661100567214685184,我觉得有道理。,67.111,1725109818,7a3a5881
1661157575707909632,焦虑症最好方法就是直面自己心底最焦虑的那个点，过了就慢慢好了,134.968,1725116614,ced6ab90
1661420563383680512,不吃，没用，慢慢养身体,6.091,1725147965,7dc7972c
1661718895696244992,医生给你开中药,127.059,1725183528,ebd4a9ca
1661753121468064512,确实,185.018,1725187609,a7ac57cd
1662159491887938560,六大重疾还是需要药物治疗的,49.624,1725236052,123a3e7f
1662280592919864320,因人而异,19.642,1725250488,11fbc2a
1662334062125596672,我同意,76.097,1725256862,1ec7bfa8
1662353217109071360,中度轻度不需要，重度以防万一还是吃吧,93.616,1725259145,f49c32f5
1662477418595630848,张朝阳似懂非懂,61.359,1725273951,9eeeceb0
1662619047776412928,医生都会鼓励吃药，哪怕轻度，毕竟目前药物见效快，副作用小，成本低(相对于心理咨询),113.394,1725290835,10a3e370
1663174375915999488,张朝阳是大量阅读多学科纵向横向弄清所以然而非药而愈,129.119,1725357035,4e5141ab
1663175256552488448,张朝阳同时也阅读了哲学和金刚经心经,137.099,1725357140,4e5141ab
1663989285512724736,相信药有用就有用,28.859,1725454180,60315d44
1664762253125971200,对对对对对对对,188.149,1725546325,21299ce3
1665212341589157376,重度时候药物非常有用  可以减轻极大的痛苦  ,58.208,1725599980,d5c88aca
1665400317325890304,但我只能吃药,3.379,1725622388,cd34c672
1665856039695825664,双相,37.874,1725676714,2f4e3f09
1666554861551987200,确实没用，只能暂时麻痹、控制，根源还得靠自己或者环境的改变,28.6,1725760021,ad0a5019
1666644775535555584,吃,15.019,1725770739,ff711c65
1666773171627506688,他发作过吗？他也不知道重度焦虑惊恐发作的时候多痛苦啊,68.919,1725786045,8d593e0c
1670816421183043584,发烧吃退烧药一个道理，只有烧到一定读书，才会选择无奈之举的退烧药，而吃退烧药并不能杀病毒，只是让你觉得你不烧了 你好了,8.8,1726268038,227d740
1672607405928199424,这个确实,217.138,1726481540,69f11281
1674085451268977920,不吃，我肯定不吃,3.379,1726657737,241863cc
1674689879382454784,但是你睡眠极差，肯定要吃，不吃更恍惚，看状态，别一概而论,38.919,1726729790,1d8d0f9d
1675330434613169920,简单，放下一切不好吗？身体啥症状都没了,32.779,1726806150,862b68c2
1676897858248279040,用药一定要在专业医生的指导下谨慎用药,345.438,1726993002,8fb1613b
1679719761912614912,至少他没有让你报班，也没有卖你药,212.606,1727329399,937f1b50
1679903973538558464,在吃。,8.579,1727351359,9c5f04ae
1679935381401655552,不吃,7.299,1727355103,8e57fb53
1687037849037500160,对医生的信任度  应该是大部分人担忧的一个问题,117.825,1728201783,d0ceca5e
1694267198153440256,也许这个张朝阳是症状比较轻的,25.139,1729063588,31b60b6f
1694282017031791616,我想知道有没有跟我一样的就心悸了一次然后疑病然后就开始网上一顿搜，然后就睡不着了，我现在症状晚上睡觉多梦也不是噩梦，然后眼睛不对焦一直存在，类似于我发的图片这种，注意力不是很集中，,295.474,1729065355,c392c7e2
1740875709091969792,医生说吃药控制过度的焦虑，等自己能控制好或者改变好以后再慢慢减药,159.895,1734619756,e61ebc5e
1744010942095561216,你问就是吃啊,125.365,1734993505,7fc7025
1774830826166144512,我觉得张朝阳说的正确，心理疾病最重要的是靠自己去面对治愈，靠药物治愈几乎是不可能的，而且还会有依赖，所以国外对心理疾病那么重视，因为它其实是无药可救的。,133.071,1738667521,95ec0450
1883002681762027264,不用药 不管用,224.091,1751562611,f3203503
1913949615360337152,不是想通，也不是吃药完全好，是事情会过去,36.118,1755251773,af7ed2f6
1921956923453170688,吃过，没用，反而有副作用,50.298,1756206319,39e3391b
1921984317257836544,关键是放不下,48.83,1756209584,cfa96dc2
2003708038569179392,我也在纠结要不要吃药，不过我还没吃，每天药物放在那儿，我就心安理得了,95.68,1765951811,469d87e0
2021278223593850112,要是没事肯定找个山清水秀地方慢慢养啊，天天要上学科研的咋慢慢养,17.858,1768046341,5d8cd07d
2076219249085067008,不是有道理，他就是懂原理,85.039,1774595821,29c0941d
2076219478613986560,心理治疗是免费的……,87.927,1774595848,29c0941d
2076219735850745344,看书,115.562,1774595879,29c0941d
2076219851068456704,医生只会开药，不会判断,121.853,1774595893,29c0941d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1661101177653489664,反复横跳,364.8,1725109891,4891d871
1661696979258298112,得吃，我吃了好多了,485.523,1725180916,f5949bc2
1661761855091304704,命运还是只能由自己决定,544.546,1725188650,a7ac57cd
1661913432305214976,不要突然停药，会反弹很厉害,623.319,1725206719,6b772a2d
1663736510069428992,所以，最终还是要靠自己来拯救自己,674.586,1725424047,6f417def
1673730354529486080,知道了原因又能怎么办,465.535,1726615406,6d684ada
