danmaku_id,content,progress,ctime,user_hash
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1798609182774224896,怎么学,181.998,1741502122,4d5a52ff
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
1598805355465788160,满分一百二,175.911,1717683650,b20d0c9c
1598818334303225344,？,116.074,1717685197,88b60646
1599895114648738304,加纳,40.401,1717813559,995b6956
1599987434845081600,高二爱看！！！！！,10.393,1717824565,211ba6b8
1600948675923037952,剩10天了,4.498,1717939154,956e7abb
1601445101421220352,还有四天,7.019,1717998332,d74a783a
1601592239124039424,0/100路过,63.018,1718015872,a1b133d6
1603052061698908928,我也只剩一天了,18.619,1718189897,952fd35c
1603801374016317696,13天倒计时了,3.725,1718279222,f33169fc
1603802180488421888,呜呜呜，上次完型就对两道，后面基本每次，直接给我干蒙了,70.893,1718279318,f33169fc
1603827893434297344,那一个晚上捏,180.286,1718282383,21a36f1e
1603872775884645120,还有3天了,7.319,1718287734,f4f01ff3
1604844480140197888,两小时能提分吗？,18.747,1718403570,a3c35eb5
1604992153388324864,110分的路过￼,46.175,1718421174,926e2d18
1604993301806023424,明天拿下中考英语,165.99,1718421311,926e2d18
1605320983945021696,感觉已经废了,55.203,1718460373,b2cd3f14
1605321132960166400,希望幸运女神眷顾我一下,64.245,1718460391,b2cd3f14
1605340401760668416,考前还有7天冲刺一下,58.054,1718462688,871a23e3
1605357530266023936,还有几天，英语还始终保持在40分上下,12.339,1718464730,d5499990
1606470783054770176,还有两小时考英语,116.899,1718597440,5ecc0c32
1606495494845252864,两个小时考英语能不能闪击？,29.586,1718600386,2859d3c2
1606504060578672896,13分的英语，下午中考,83.219,1718601407,a12459e8
1666043663522659072,卧槽，牛逼，你就是我的再生父母,56.72,1725699081,4e8534ad
1735093970491105792,哪里可以领200词和思维技巧。？,97.889,1733930519,8e7d170c
1799303872259431936,怎么领取啊？,106.93,1741584936,861d861c
1859397966134009344,怎么领取啊,111.515,1748748710,4cbfc220
1862218880521959424,高一爱看,20.739,1749084989,d021cc17
1862856162677052672,我们这阅读4300字,130.646,1749160959,f4c77d7b
1868684139453075712,七个小时,38.854,1749855708,82b99c55
1868742417747533824,太燃了,76.539,1749862655,c576d9f8
1990243689029197568,听力还有人做不好，我考60几听力都能拿二十大几,159.203,1764346736,e6ec231e
2018235879063843328,老师，你说的方法资料是什么？目前初三，20分，很着急,181.998,1767683665,64c46975
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1595030950755318272,加油,51.827,1717233706,baefc52d
1595145567536083968,老师我考19,17.803,1717247369,f2acb545
1595206193289599488,只考28呀，唉，就算其他的再拉高也补不了这个缺口,22.865,1717254596,8392a437
1595208722353828608,天才和普通人的差距算什么？,7.937,1717254898,33752d5c
1595547139075883520,我们这里完形填空总共15分,61.742,1717295240,c743dd9f
1595751796348096256,90/100路过,27.753,1717319637,84574bd7
1595877880062531072,6，,111.703,1717334668,5f6fee69
1596329675918090240,十几分的我沉默了。。。,23.547,1717388526,b685bc47
1596556380825881600,115/120路过,33.35,1717415551,e91cbee9
1597044811460989696,二模101路过,31.539,1717473777,9466e809
1597270700937447168,路过,29.862,1717500705,60d9b2d3
1597317033761137920,完形填空不就十分吗,46.779,1717506228,15e778de
1598106469394729472,强,152.158,1717600336,25a255bf
1598415475765871872,耳朵已接收，但脑子拒绝了,38.538,1717637173,ec278c4d
