danmaku_id,content,progress,ctime,user_hash
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
2080875262865921024,5,28.598,1775150861,63d2ab25
2081116646579522560,5,26.005,1775179636,523e0ddb
2081210651761850112,5,27.291,1775190843,a922f4e2
2081313672215067904,5,27.522,1775203124,461d88e
2081376636544716544,5,29.757,1775210630,84c2596e
2082551819657573120,现在老赛刀不了了，会随时转身80血肘击,43.84,1775350722,38dd06d7
2082664027716456704,5,27.552,1775364099,583f0ab8
2082844603585000192,老塞：我问你们天空属于什么？,36.919,1775385625,55be360a
2083264287312467712,5,30.342,1775435655,a94394d3
2083270421918218240,5,29.592,1775436386,607ea949
2083554063865698560,5,26.338,1775470199,da403736
2083764494119252992,5,29.4,1775495284,a89b4616
2084327359708274176,5,26.26,1775562383,3dfe4e02
2085074809200795648,削弱了吗？没削弱只是按加强而已。,20.039,1775651486,4fcf34ab
2085110852130027008,逗你的57m外三枪头给我打死了,2.475,1775655783,d5e752
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1916787020039473920,虚空行者,33.877,1755590018,34377926
1916878420710053120,皆若空游无所依,34.201,1755600914,f1b3ae3b
1916900375240750848,刀老塞用黑海好刀吗？,42.735,1755603531,c8370ed2
1916907381758364928,你阿萨拉被削了管我们哈夫克什么事,9.715,1755604367,5b14bec7
1916987726058981632,削弱阿萨拉关我哈夫克什么事,9.157,1755613944,e4b12f60
1917013386525649408,降低的是阿萨拉关我哈夫克什么事,6.589,1755617003,9a54ab63
1917213220289635840,你以为阿萨拉小兵就弱了吗？,17.45,1755640825,161bcc22
1917245221327288064,削弱开火关我近战两脚什么事？,3.464,1755644640,ae02e713
1917246782556122624,你阿萨拉削了关我们哈夫克什么事？,30.391,1755644826,35d4dce5
1917252638559942400,削弱阿萨拉小兵关我卫队队长什么事,35.297,1755645524,3d4369a0
1917272211547292160,也就打打真人了,25.051,1755647858,4161137f
1917286708555700992,其实是策划在后台开的,28.742,1755649586,c0a07909
1917310918137204736,削弱阿萨拉，关我哈夫克什么事？,1.431,1755652472,c9d9dc47
1917315720815973632,斗宗强者，恐怖如斯!,36.309,1755653044,b79726e6
1917345047096504832,削弱的是阿萨拉，关哈夫克什么事？,5.474,1755656540,b571718f
1917362237468346624,阿萨啦高于一切,34.137,1755658590,d790200d
1917392189253080064,小兵削了关老大什么事,43.339,1755662160,272b30f2
1917398409615513088,削弱阿萨拉关我哈夫克什么事,24.107,1755662902,5f95dcee
1917429372831562240,老太:清图！,24.512,1755666593,db2ad257
1917499519302493952,降低了阿萨拉关我们哈夫克什么事？,9.262,1755674955,697585ae
1917596198152859648,也没告诉我安全总监德穆兰也参加了呀。,25.32,1755686480,744870e9
1918071042320929536,削的是阿萨拉关我哈夫克什么事,13.447,1755743086,87689c72
1918149469874959360,这可是职业赛场,17.436,1755752435,1d16a2db
1918166007193837312,削弱人机关我小车什么事？,20.319,1755754406,d3cfd5a3
1918412244464073216,老赛只是不锁你的头了，我这还是锁头的,42.348,1755783760,24f98856
1932769231318505216,跟一个残血的人对枪呢原以为会被对面打死，没想到让小兵一枪摸死了,17.63,1757495246,d0b06911
1940569007237290752,这个应该是黑海的问题,42.092,1758425052,ed6c1da0
1979036156688058368,斗宗强者果然恐怖如斯 ,35.281,1763010694,aa6aa938
2078548246062246400,天空属于阿萨拉！,36.74,1774873459,237700a4
